name,url,institutions,countries,country
Luana Micallef,https://dl.acm.org/profile/81548012985,"['University of Copenhagen', 'Aalto University', 'INRIA Institut National de Recherche en Informatique et en Automatique', 'University of Kent']","['Denmark', 'Finland', 'France', 'U.K.']",Denmark
Barış Serim,https://dl.acm.org/profile/82259259657,"['University of Helsinki', 'Helsinki Institute for Information Technology', 'Koc University']","['Finland', 'Finland', 'Turkey']",Finland
Tung Vuong,https://dl.acm.org/profile/99659191803,['University of Helsinki'],['Finland'],Finland
Tuukka Ruotsalo,https://dl.acm.org/profile/81339525898,"['University of Helsinki', 'University of Copenhagen', 'Aalto University']","['Finland', 'Denmark', 'Finland']",Finland
Giulio Iacucci,https://dl.acm.org/profile/81100644548,"['University of Helsinki', 'Aalto University', 'Helsinki Institute for Information Technology', 'University of Oulu']","['Finland', 'Finland', 'Finland', 'Finland']",Finland
Günter Wallner,https://dl.acm.org/profile/81100493799,"['Johannes Kepler University Linz', 'University of Applied Sciences Western Switzerland']","['Austria', 'Switzerland']",Austria
Huub M M van de Wetering,https://dl.acm.org/profile/81100431196,"['Eindhoven University of Technology', ""Xi'an Jiaotong University""]","['Netherlands', 'China']",Netherlands
Freek Rooks,https://dl.acm.org/profile/99659915567,['Eindhoven University of Technology'],['Netherlands'],Netherlands
Olof Morra,https://dl.acm.org/profile/99659915351,['Eindhoven University of Technology'],['Netherlands'],Netherlands
Gonzalo Gabriel Méndez,https://dl.acm.org/profile/84460003257,"['Litoral Polytechnic School', 'University of Calgary', 'University of St Andrews']","['Ecuador', 'Canada', 'U.K.']",Ecuador
Oscar Moreno,https://dl.acm.org/profile/99659915372,['Litoral Polytechnic School'],['Ecuador'],Ecuador
Daniel Atzberger,https://dl.acm.org/profile/99659915322,"['University of Potsdam', 'Hasso Plattner Institute for Digital Engineering gGmbH']","['Germany', 'Germany']",Germany
Patricio Mendoza,https://dl.acm.org/profile/81492646025,['Litoral Polytechnic School'],['Ecuador'],Ecuador
Sebastian Eckl,https://dl.acm.org/profile/99659914952,['Reutlingen University'],['Germany'],Germany
Nick Kerschagel,https://dl.acm.org/profile/99659915658,['Reutlingen University'],['Germany'],Germany
Uwe Kloos,https://dl.acm.org/profile/81466647554,"['Reutlingen University', 'University of Applied Sciences of the Grisons', 'University of Stuttgart']","['Germany', 'Switzerland', 'Germany']",Germany
Maitreya Save,https://dl.acm.org/profile/99659915851,['NC State University'],['United States'],United States
