author_id,author_name,coauthor_id,coauthor_name,self_citation,paper_doi,paper_title,parent_doi,parent_title
242,Peter J Rodgers,463,John Howse,False,10.1145/3105971.3105978,Evaluating the effects of size in linesets,10.1145/2636240.2636838,How Should We Use Colour in Euler Diagrams?
237,Patrick Cheong-Iao Pang,200,Robert P. Biuk-Aghai,True,10.1145/2968220.2968239,What Makes You Think This Is a Map?: Suggestions for Creating Map-like Visualisations.,10.1145/2493102.2493114,A novel map-based visualization method based on liquid modelling
237,Patrick Cheong-Iao Pang,549,Waihou Ao,False,10.1145/2968220.2968239,What Makes You Think This Is a Map?: Suggestions for Creating Map-like Visualisations.,10.1145/2493102.2493114,A novel map-based visualization method based on liquid modelling
200,Robert P. Biuk-Aghai,200,Robert P. Biuk-Aghai,True,10.1145/2968220.2968239,What Makes You Think This Is a Map?: Suggestions for Creating Map-like Visualisations.,10.1145/2493102.2493114,A novel map-based visualization method based on liquid modelling
200,Robert P. Biuk-Aghai,549,Waihou Ao,False,10.1145/2968220.2968239,What Makes You Think This Is a Map?: Suggestions for Creating Map-like Visualisations.,10.1145/2493102.2493114,A novel map-based visualization method based on liquid modelling
294,Muye Yang,200,Robert P. Biuk-Aghai,True,10.1145/2968220.2968239,What Makes You Think This Is a Map?: Suggestions for Creating Map-like Visualisations.,10.1145/2493102.2493114,A novel map-based visualization method based on liquid modelling
294,Muye Yang,549,Waihou Ao,False,10.1145/2968220.2968239,What Makes You Think This Is a Map?: Suggestions for Creating Map-like Visualisations.,10.1145/2493102.2493114,A novel map-based visualization method based on liquid modelling
315,Wenqian Ji,435,Andrew S Brunker,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
315,Wenqian Ji,273,Quang Vinh Nguyen,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
315,Wenqian Ji,436,Anthony J Maeder,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
315,Wenqian Ji,437,Rhys Tague,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
315,Wenqian Ji,438,Gregory S Kolt,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
315,Wenqian Ji,439,Trevor N Savage,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
315,Wenqian Ji,440,Corneel Vandelanotte,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
315,Wenqian Ji,441,Mitch J Duncan,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
315,Wenqian Ji,442,Cristina M Caperchione,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
315,Wenqian Ji,443,Richard R Rosenkranz,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
315,Wenqian Ji,444,Anetta Van Itallie,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
315,Wenqian Ji,445,W Kerry Mummery,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
316,Yan Tang,435,Andrew S Brunker,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
316,Yan Tang,273,Quang Vinh Nguyen,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
316,Yan Tang,436,Anthony J Maeder,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
316,Yan Tang,437,Rhys Tague,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
316,Yan Tang,438,Gregory S Kolt,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
316,Yan Tang,439,Trevor N Savage,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
316,Yan Tang,440,Corneel Vandelanotte,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
316,Yan Tang,441,Mitch J Duncan,False,10.1145/2968220.2968246,A Hybrid Approach for Event Social Influence Visualization,10.1145/2636240.2636842,A Time-based Visualization for Web User Classification in Social Networks
