name,url,institutions,countries,country,region
Yuhua Liu,https://dl.acm.org/profile/81549102456,"['East China Normal University', 'Shanghai University']","['China', 'China']",China,Asia
Hanfei Lin,https://dl.acm.org/profile/99659194118,['East China Normal University'],['China'],China,Asia
Yitao Liang,https://dl.acm.org/profile/99659194271,['East China Normal University'],['China'],China,Asia
Sangbong Yoo,https://dl.acm.org/profile/99658989829,['Sejong University'],['South Korea'],South Korea,Asia
Hongryeol Ryu,https://dl.acm.org/profile/99658730770,['Yonsei University'],['South Korea'],South Korea,Asia
Taekyoung ‘Taekyoung’ Kwon,https://dl.acm.org/profile/81451594353,"['Sejong University', 'Seoul National University', 'Yonsei University', 'The Ohio State University']","['South Korea', 'South Korea', 'South Korea', 'United States']",South Korea,Asia
Nils Rodrigues,https://dl.acm.org/profile/99659194260,['University of Stuttgart'],['Germany'],Germany,Europe
Rudolf Netzel,https://dl.acm.org/profile/81558361656,['University of Stuttgart'],['Germany'],Germany,Europe
Kazi Riaz Ullah,https://dl.acm.org/profile/99659194145,['University of Stuttgart'],['Germany'],Germany,Europe
Alexander Schultz,https://dl.acm.org/profile/99659194188,['Fraunhofer Institute for Solar Energy Systems ISE'],['Germany'],Germany,Europe
Bruno Burger,https://dl.acm.org/profile/81440598602,['Fraunhofer Institute for Solar Energy Systems ISE'],['Germany'],Germany,Europe
Daniel Weiskopf,https://dl.acm.org/profile/81548014780,"['University of Stuttgart', 'University of Konstanz', 'Simon Fraser University']","['Germany', 'Germany', 'Canada']",Germany,Europe
Kumaripaba Athukorala,https://dl.acm.org/profile/81500651305,"['Aalto University', 'University of Helsinki', 'Helsinki Institute for Information Technology', 'University of Oulu']","['Finland', 'Finland', 'Finland', 'Finland']",Finland,Europe
Chao An,https://dl.acm.org/profile/83058808757,"['University of Helsinki', 'Aalto University']","['Finland', 'Finland']",Finland,Europe
Aki Reijonen,https://dl.acm.org/profile/84459914957,"['University of Helsinki', 'Helsinki Institute for Information Technology']","['Finland', 'Finland']",Finland,Europe
Jaakko Peltonen,https://dl.acm.org/profile/81100125974,"['University of Tampere', 'Aalto University', 'Helsinki Institute for Information Technology']","['Finland', 'Finland', 'Finland']",Finland,Europe
Christian Bors,https://dl.acm.org/profile/99659194168,['Vienna University of Technology'],['Austria'],Austria,Europe
Markus Bögl,https://dl.acm.org/profile/81474695092,['Vienna University of Technology'],['Austria'],Austria,Europe
Theresia Gschwandtner,https://dl.acm.org/profile/81375620061,['Vienna University of Technology'],['Austria'],Austria,Europe
Silvia Miksch,https://dl.acm.org/profile/81100255622,"['Vienna University of Technology', 'Danube University Krems']","['Austria', 'Austria']",Austria,Europe
Kazuo Misue,https://dl.acm.org/profile/81100517120,"['University of Tsukuba', 'Fujitsu Ltd.']","['Japan', 'Japan']",Japan,Asia
Kosuke Otake,https://dl.acm.org/profile/99659194175,['University of Tsukuba'],['Japan'],Japan,Asia
Takahiro Saito,https://dl.acm.org/profile/99659194114,['Fujitsu Ltd.'],['Japan'],Japan,Asia
Jieliang Luo,https://dl.acm.org/profile/99659820717,,,,
Donghao Ren,https://dl.acm.org/profile/84460132057,"['University of California, Santa Barbara']",['United States'],United States,North America
George Legrady,https://dl.acm.org/profile/81320492170,"['University of California, Santa Barbara']",['United States'],United States,North America
Congmin Li,https://dl.acm.org/profile/99659194233,['Tianjin University'],['China'],China,Asia
Boyi Li,https://dl.acm.org/profile/99659194283,['University of Toronto'],['Canada'],Canada,North America
Amontep Wijitcharoen,https://dl.acm.org/profile/99659194157,['King Mongkuts University of Technology Thonburi'],['Thailand'],Thailand,Asia
Jonathan Hoyin Chan,https://dl.acm.org/profile/81413599918,['King Mongkuts University of Technology Thonburi'],['Thailand'],Thailand,Asia
Simon James Fong,https://dl.acm.org/profile/81339499259,"['University of Macau', 'Chinese Academy of Sciences', 'Nanyang Technological University']","['Macao', 'China', 'Singapore']",Macao,Asia
Robert P. Biuk-Aghai,https://dl.acm.org/profile/81100203521,['University of Macau'],['Macao'],Macao,Asia
Scarlet Tin,https://dl.acm.org/profile/99659194248,['University of Macau'],['Macao'],Macao,Asia
Yihang Bo,https://dl.acm.org/profile/99659194158,,,,
Yi Yang,https://dl.acm.org/profile/99659194162,['Chinese Academy of Sciences'],['China'],China,Asia
Xianglei Zhu,https://dl.acm.org/profile/99659194208,['China Automotive Technology and Research Center Co. Ltd'],['China'],China,Asia
Shuai Zhao,https://dl.acm.org/profile/99659194272,['China Automotive Technology and Research Center Co. Ltd'],['China'],China,Asia
