e1,e2,value
VRVis Research Center,CONICET and U,1
VRVis Research Center,Virginia Tech Blacksburg,1
VRVis Research Center,VRVis Research Center,1
university of buenos aires,university of maryland,1
university of buenos aires,CONICET and U,1
university of buenos aires,Virginia Tech Blacksburg,1
university of maryland,CONICET and U,1
university of maryland,Virginia Tech Blacksburg,1
CONICET and U,Virginia Tech Blacksburg,1
university of tokyo,university of aizu,1
university of tokyo,keio university,1
university of aizu,keio university,1
western sydney university,J Craig Venter Institute,1
J Craig Venter Institute,university of technology,1
Institute for Computer Science,Institute for Computer Science,1
university of north texas,university of north texas,1
university of north texas,washington university,1
university of north texas,Rochester Institute of Technology,1
university of north texas,oregon state university,1
washington university,Rochester Institute of Technology,1
washington university,oregon state university,1
Rochester Institute of Technology,oregon state university,1
oregon state university,oregon state university,1
north dakota state university,north dakota state university,1
university of melbourne,university of macau,1
university of san francisco,university of san francisco,2
changsha university of science and technology,stony brook university,1
changsha university of science and technology,zhejiang university,1
changsha university of science and technology,zhejiang university of technology,1
stony brook university,zhejiang university,1
stony brook university,zhejiang university of technology,1
zhejiang university,zhejiang university of technology,1
zhejiang university,zhejiang university,2
Fraunhofer IGD,Fraunhofer IGD,1
Fraunhofer IGD,technical university of germany,1
technical university of germany,technical university of germany,1
drexel university,drexel university,1
hohai university,hohai university,1
hohai university,Baidu Inc,1
Baidu Inc,Baidu Inc,1
zhejiang university,university of californiadavis,1
university shanghai,university shanghai,1
BYU Hawaii,brigham young university,1
BYU Hawaii,BYU Hawaii,1
southeast university,southeast university,1
university of wyoming,university of wyoming,1
Highland Park High School,John Paul II High School,1
Highland Park High School,tianjin university,1
John Paul II High School,tianjin university,1
tongji university,tongji university,1
shanghai jiao tong university,shanghai jiao tong university,1
purdue university,indiana university,1
