id,name,institutions,url
99658638639,Madhawa Gunasekara,['University of Colombo'],https://dl.acm.org/profile/99658638639
81502806530,Damitha Sandaruwan,['University of Colombo'],https://dl.acm.org/profile/81502806530
99658641797,Hirantha Weerarathna,['University of Colombo'],https://dl.acm.org/profile/99658641797
99658640964,Hiroki Fujita,['University of Toyama'],https://dl.acm.org/profile/99658640964
99658639441,Yoshio Nakashima,['University of Toyama'],https://dl.acm.org/profile/99658639441
99658639630,Mamoru Takamatsu,['University of Toyama'],https://dl.acm.org/profile/99658639630
81440621162,Daniel Filonik,"['Epicentre', 'CSIRO Data61', 'UNSW Sydney', 'Queensland University of Technology', '+ 1']",https://dl.acm.org/profile/81440621162
81100268335,Markus Rittenbruch,"['Queensland University of Technology', 'CSIRO Data61', 'The University of Queensland', 'University of Bonn']",https://dl.acm.org/profile/81100268335
81342494632,Professor Marcus Foth,['Queensland University of Technology'],https://dl.acm.org/profile/81342494632
81100425686,Paolo Bottoni,"['Sapienza University of Rome', 'University of Milan']",https://dl.acm.org/profile/81100425686
81350572984,Kamen D Kanev,"['Shizuoka University', 'Ontario Tech University', 'The University of Aizu']",https://dl.acm.org/profile/81350572984
81100503196,Nikolay N Mirenkov,"['The University of Aizu', 'Siberian Branch, Russian Academy of Sciences']",https://dl.acm.org/profile/81100503196
99660111829,Jin Cui,['Beihang University'],https://dl.acm.org/profile/99660111829
81470647228,Yi Du,"['Chinese Academy of Sciences', 'University of Chinese Academy of Sciences']",https://dl.acm.org/profile/81470647228
81479657628,Haifeng Li,['Harbin Institute of Technology'],https://dl.acm.org/profile/81479657628
82459167457,Dayi Yang,['Harbin Institute of Technology'],https://dl.acm.org/profile/82459167457
82459085757,Yangyang Fu,['Harbin Institute of Technology'],https://dl.acm.org/profile/82459085757
82458947557,Hujie Huang,['Harbin Institute of Technology'],https://dl.acm.org/profile/82458947557
82458827157,Hongyuan Fang,['Harbin Institute of Technology'],https://dl.acm.org/profile/82458827157
81466644873,Mofei Song,['Nanjing University'],https://dl.acm.org/profile/81466644873
82458781457,Feiqian Zhang,['Nanjing University'],https://dl.acm.org/profile/82458781457
81375607623,Zhengxing Sun,['Nanjing University'],https://dl.acm.org/profile/81375607623
81408596522,Yan Zhang,"['Beijing Electronic Science and Technology Institute', 'Nanjing University']",https://dl.acm.org/profile/81408596522
84460499457,Quan Li,['Tsinghua University'],https://dl.acm.org/profile/84460499457
81550069356,Li Chen,['Tsinghua University'],https://dl.acm.org/profile/81550069356
82459274457,Robert Wang,[],https://dl.acm.org/profile/82459274457
81350568307,Jun-Hai Yong,"['Tsinghua University', '+ 3']",https://dl.acm.org/profile/81350568307
