e1,e2,value
Andrew S Brunker,Trevor N Savage,1
Andrew S Brunker,Corneel Vandelanotte,1
Andrew S Brunker,Mitch J Duncan,1
Andrew S Brunker,Cristina M Caperchione,1
Andrew S Brunker,Richard R Rosenkranz,1
Andrew S Brunker,Anetta Van Itallie,1
Andrew S Brunker,W Kerry Mummery,1
Quang Vinh Nguyen,Anthony J Maeder,1
Quang Vinh Nguyen,Rhys Tague,1
Quang Vinh Nguyen,Gregory S Kolt,1
Quang Vinh Nguyen,Trevor N Savage,1
Quang Vinh Nguyen,Corneel Vandelanotte,1
Quang Vinh Nguyen,Mitch J Duncan,1
Quang Vinh Nguyen,Cristina M Caperchione,1
Quang Vinh Nguyen,Richard R Rosenkranz,1
Quang Vinh Nguyen,Anetta Van Itallie,1
Quang Vinh Nguyen,W Kerry Mummery,1
Anthony J Maeder,Rhys Tague,1
Anthony J Maeder,Gregory S Kolt,1
Anthony J Maeder,Trevor N Savage,1
Anthony J Maeder,Corneel Vandelanotte,1
Anthony J Maeder,Mitch J Duncan,1
Anthony J Maeder,Cristina M Caperchione,1
Anthony J Maeder,Richard R Rosenkranz,1
Anthony J Maeder,Anetta Van Itallie,1
Anthony J Maeder,W Kerry Mummery,1
Rhys Tague,Gregory S Kolt,1
Rhys Tague,Trevor N Savage,1
Rhys Tague,Corneel Vandelanotte,1
Rhys Tague,Mitch J Duncan,1
Rhys Tague,Cristina M Caperchione,1
Rhys Tague,Richard R Rosenkranz,1
Rhys Tague,Anetta Van Itallie,1
Rhys Tague,W Kerry Mummery,1
Gregory S Kolt,Trevor N Savage,1
Gregory S Kolt,Corneel Vandelanotte,1
Gregory S Kolt,Mitch J Duncan,1
Gregory S Kolt,Cristina M Caperchione,1
Gregory S Kolt,Richard R Rosenkranz,1
Gregory S Kolt,Anetta Van Itallie,1
Gregory S Kolt,W Kerry Mummery,1
Trevor N Savage,Corneel Vandelanotte,1
Trevor N Savage,Mitch J Duncan,1
Trevor N Savage,Cristina M Caperchione,1
Trevor N Savage,Richard R Rosenkranz,1
Trevor N Savage,Anetta Van Itallie,1
Trevor N Savage,W Kerry Mummery,1
Corneel Vandelanotte,Mitch J Duncan,1
Corneel Vandelanotte,Cristina M Caperchione,1
Corneel Vandelanotte,Richard R Rosenkranz,1
