author_id,author_name,institute_id,institute_name
81384592979,Mathieu Roche,60031011,CIRAD
81100236660,Pascal  Poncelet,60108488,University of Montpellier
99659291871,Humphrey O Obie,60019578,Monash University
99659291871,Humphrey O Obie,60030804,Swinburne University of Technology
81490649118,Caslon  Chua,60030804,Swinburne University of Technology
81440623086,Iman Avazpour,60018805,Deakin University
81440623086,Iman Avazpour,60030804,Swinburne University of Technology
99659003381,Mohamed Almorsy Abdelrazek,60018805,Deakin University
81100261843,John C. Grundy,60019578,Monash University
81100261843,John C. Grundy,60018805,Deakin University
81100261843,John C. Grundy,60030804,Swinburne University of Technology
81100261843,John C. Grundy,60005686,The University of Auckland
99659493271,Liang  Zhou,60025488,The University of Utah
99659493271,Liang  Zhou,60015815,University of Stuttgart
81490688158,Hansjörg  Schmauder,60015815,University of Stuttgart
99659256604,Xiaoyu  Wang,60009415,The University of Texas at Dallas
99659194249,Yufeng  Liu,60010851,Hohai University
99658620368,Jie  Li,60019533,Tianjin University
99658620368,Jie  Li,60033100,Nanjing University
81350576955,K. Zhang,60009415,The University of Texas at Dallas
81350576955,K. Zhang,60019533,Tianjin University
81350576955,K. Zhang,60000251,IEEE
99659291201,Daniil  Rodin,60022403,Technion - Israel Institute of Technology
81100400502,Gershon  Elber,60022403,Technion - Israel Institute of Technology
81100400502,Gershon  Elber,60000251,IEEE
81100400502,Gershon  Elber,60025488,The University of Utah
99659292007,Mehmood  Ghaffar,60015595,Bielefeld University
99659292087,Niklas  Biere,60015595,Bielefeld University
99659290368,Daniel  Jäger,60015595,Bielefeld University
81100141840,Karsten  Klein,60019578,Monash University
81100141840,Karsten  Klein,60025525,University of Konstanz
81100141840,Karsten  Klein,60025709,The University of Sydney
81100141840,Karsten  Klein,60032991,Technical University Dortmund
81100087062,Falk  Schreiber,60025525,University of Konstanz
81100087062,Falk  Schreiber,60019578,Monash University
81100087062,Falk  Schreiber,60014059,Martin Luther University of Halle-Wittenberg
99659291490,Olaf  Kruse,60015595,Bielefeld University
99658771476,Björn  Sommer,60104069,Royal College of Art
99658771476,Björn  Sommer,60025525,University of Konstanz
99658771476,Björn  Sommer,60019578,Monash University
99658771476,Björn  Sommer,60015595,Bielefeld University
99659289305,Luca  Marzialetti,60012630,Roma Tre University
99659290958,Massimo  Candela,60028868,University of Pisa
81100464555,Giuseppe  Di Battista,60012630,Roma Tre University
81100464555,Giuseppe  Di Battista,60020919,Basilicata University Potenza
81100464555,Giuseppe  Di Battista,60032350,Sapienza University of Rome
99658638708,Nico  Reski,60108011,"Linnaeus University, Växjö"
81310502395,Aris  Alissandrakis,60108011,"Linnaeus University, Växjö"
81310502395,Aris  Alissandrakis,60104372,"Linnaeus University, Kalmar"
81310502395,Aris  Alissandrakis,60032760,University of Hertfordshire
81486656627,Kostiantyn Kucher,60108011,"Linnaeus University, Växjö"
81486656627,Kostiantyn Kucher,60104372,"Linnaeus University, Kalmar"
99659192192,Rafael Messias Martins,60108011,"Linnaeus University, Växjö"
99659192192,Rafael Messias Martins,60104372,"Linnaeus University, Kalmar"
81100367883,Andreas Kerren,60108011,"Linnaeus University, Växjö"
81100367883,Andreas Kerren,60104372,"Linnaeus University, Kalmar"
81100367883,Andreas Kerren,60009941,University of Kaiserslautern
81100367883,Andreas Kerren,60018163,Vienna University of Technology
81470654834,Maria  Skeppstedt,60021763,University of Potsdam
81470654834,Maria  Skeppstedt,60028378,Stockholm University
99659291514,Alisa  Lincke,60108011,"Linnaeus University, Växjö"
81100336369,Jenny  Lundberg,60016636,Blekinge Institute of Technology
99659289733,Maria  Thunander,60029170,Lund University
81100334854,Marcelo  Milrad,60108011,"Linnaeus University, Växjö"
81100334854,Marcelo  Milrad,60104372,"Linnaeus University, Kalmar"
81339515283,Jonas  Lundberg,60009358,Linköping University
81339515283,Jonas  Lundberg,60108011,"Linnaeus University, Växjö"
81339515283,Jonas  Lundberg,60104372,"Linnaeus University, Kalmar"
81501663475,Daniel Toll,60104372,"Linnaeus University, Kalmar"
81442618410,Anna  Wingkvist,60108011,"Linnaeus University, Växjö"
81442618410,Anna  Wingkvist,60104372,"Linnaeus University, Kalmar"
99659292129,Tomohiro  Kawanabe,60016648,Riken
81100125090,Jorji  Nonaka,60016648,Riken
81100125090,Jorji  Nonaka,60011001,Kyoto University
81100261727,Kenji  Ono,60011047,Kyushu University
81100261727,Kenji  Ono,60016648,Riken
81100261727,Kenji  Ono,60018735,Toshiba Corporation
99659291920,Tu  Xing,60000937,Shenzhen University
99659290153,Anna Sara Fagerholm,60022958,Mid Sweden University
81496672621,Mattias  Andersson,60022958,Mid Sweden University
81482662429,Björn  Zimmer,60019329,"University of Applied Sciences Upper Austria, School of Informatics, Communications and Media"
81482662429,Björn  Zimmer,60108011,"Linnaeus University, Växjö"
81482662429,Björn  Zimmer,60031832,Hannover University of Applied Sciences
99659185142,Jan  Zenisek,60000594,"University of Applied Sciences Upper Austria, Wels"
81361609796,Hans-Christian Jetter,60012408,University of Lübeck
99658768907,Hyunwoo  Han,60002445,Ajou University
99659290729,Taerin  Yoon,60002445,Ajou University
99659288906,Hyeonsik  Gong,60002445,Ajou University
81458652821,Kyungwon  Lee,60002445,Ajou University
99659194221,Zana  Vosough,60072347,SAP AG
99659194221,Zana  Vosough,60018353,Technische Universität Dresden
81479656070,Dietrich Kammer,60013559,Dresden University of Applied Sciences
81479656070,Dietrich Kammer,60018353,Technische Universität Dresden
81479645196,Mandy  Keck,60019329,"University of Applied Sciences Upper Austria, School of Informatics, Communications and Media"
81479645196,Mandy  Keck,60018353,Technische Universität Dresden
81372593345,Rainer  Groh,60018353,Technische Universität Dresden
81549260756,Fangfang  Zhou,60017060,Central South University
99659194235,Minghui  Chen,60017060,Central South University
99659194186,Zeyu  Wang,60017060,Central South University
99659194127,Feng  Luo,60017060,Central South University
99659194176,Xiaobo  Luo,60017060,Central South University
99659194273,Wei  Huang,60017060,Central South University
81490680300,Yi  Chen,60022528,Beijing Technology and Business University
81549278756,Ying  Zhao,60017060,Central South University
99659194214,Yang  Zou,60010851,Hohai University
81319505316,Xiaoqin  Zeng,60010851,Hohai University
81319505316,Xiaoqin  Zeng,60009415,The University of Texas at Dallas
81319505316,Xiaoqin  Zeng,60008928,Hong Kong Polytechnic University
81548020271,Huiyi  Liu,60010851,Hohai University
81549102456,Yuhua  Liu,60021200,East China Normal University
81549102456,Yuhua  Liu,60023813,Shanghai University
99659194118,Hanfei Lin,60021200,East China Normal University
99659194271,Yitao  Liang,60021200,East China Normal University
99658989829,Sangbong  Yoo,60027884,Sejong University
99658730770,Hongryeol  Ryu,60016912,Yonsei University
81451594353,Taekyoung ‘Taekyoung’ Kwon,60027884,Sejong University
81451594353,Taekyoung ‘Taekyoung’ Kwon,60013682,Seoul National University
81451594353,Taekyoung ‘Taekyoung’ Kwon,60016912,Yonsei University
81451594353,Taekyoung ‘Taekyoung’ Kwon,60003500,The Ohio State University
99659194260,Nils  Rodrigues,60015815,University of Stuttgart
81558361656,Rudolf  Netzel,60015815,University of Stuttgart
99659194145,Kazi Riaz Ullah,60015815,University of Stuttgart
99659194188,Alexander  Schultz,60018450,Fraunhofer Institute for Solar Energy Systems ISE
81440598602,Bruno  Burger,60018450,Fraunhofer Institute for Solar Energy Systems ISE
81548014780,Daniel  Weiskopf,60015815,University of Stuttgart
81548014780,Daniel  Weiskopf,60025525,University of Konstanz
81548014780,Daniel  Weiskopf,60018491,Simon Fraser University
81500651305,Kumaripaba  Athukorala,60103653,Aalto University
81500651305,Kumaripaba  Athukorala,60002952,University of Helsinki
81500651305,Kumaripaba  Athukorala,60000944,Helsinki Institute for Information Technology
81500651305,Kumaripaba  Athukorala,60012954,University of Oulu
83058808757,Chao  An,60002952,University of Helsinki
83058808757,Chao  An,60103653,Aalto University
84459914957,Aki  Reijonen,60002952,University of Helsinki
84459914957,Aki  Reijonen,60000944,Helsinki Institute for Information Technology
81100125974,Jaakko  Peltonen,60011170,University of Tampere
81100125974,Jaakko  Peltonen,60103653,Aalto University
81100125974,Jaakko  Peltonen,60000944,Helsinki Institute for Information Technology
99659194168,Christian  Bors,60018163,Vienna University of Technology
81474695092,Markus  Bögl,60018163,Vienna University of Technology
81375620061,Theresia Gschwandtner,60018163,Vienna University of Technology
81100255622,Silvia  Miksch,60018163,Vienna University of Technology
