paper_id,paper_name,author_id,author_name
10.1145/3481549.3481562,EyeFIX: An Interactive Visual Analytics Interface for Eye Movement Analysis,99659915763,Keshav Rajupet Premkumar
10.1145/3481549.3481562,EyeFIX: An Interactive Visual Analytics Interface for Eye Movement Analysis,81331488994,Michael  Burch
10.1145/3481549.3481562,EyeFIX: An Interactive Visual Analytics Interface for Eye Movement Analysis,81452605314,Klaus D Mueller
10.1145/3481549.3481560,An empirically-based spatial segmentation and coreference annotation scheme for comics,99659915568,Lauren  Edlin
10.1145/3481549.3481560,An empirically-based spatial segmentation and coreference annotation scheme for comics,81320493799,Joshua D Reiss
10.1145/3481549.3481556,RST as Narrative Structure for Node-Based Editors,99659658214,Cameron  Edmond
10.1145/3481549.3481556,RST as Narrative Structure for Node-Based Editors,99658723776,Robert  Lawther
10.1145/3481549.3481556,RST as Narrative Structure for Node-Based Editors,81488668405,Maxime  Cordeil
10.1145/3481549.3481556,RST as Narrative Structure for Node-Based Editors,81464670479,Tomasz P Bednarz
10.1145/3481549.3481554,SPLORT: Evaluation of a Web-based Approach for Descriptive and Exploratory Analysis of Multivariate Spatio-temporal Data,99659914931,Miguel  Alfonso Feijóo-García
10.1145/3481549.3481554,SPLORT: Evaluation of a Web-based Approach for Descriptive and Exploratory Analysis of Multivariate Spatio-temporal Data,99659915656,José  Tiberio Hernández-Peñalosa
10.1145/3481549.3481558,Design and Comparative Evaluation of Visualization Onboarding Methods,99659473900,Christina  Stoiber
10.1145/3481549.3481558,Design and Comparative Evaluation of Visualization Onboarding Methods,99659914993,Conny  Walchshofer
10.1145/3481549.3481558,Design and Comparative Evaluation of Visualization Onboarding Methods,99659915944,Florian  Grassinger
10.1145/3481549.3481558,Design and Comparative Evaluation of Visualization Onboarding Methods,87258908057,Holger  Stitz
10.1145/3481549.3481558,Design and Comparative Evaluation of Visualization Onboarding Methods,81375612900,Marc  Streit
10.1145/3481549.3481558,Design and Comparative Evaluation of Visualization Onboarding Methods,81503660777,Wolfgang  Aigner
10.1145/3481549.3481564,Cross-Platform Immersive Visualization and Navigation with Augmented Reality,99659916186,Akshay  Murari
10.1145/3481549.3481564,Cross-Platform Immersive Visualization and Navigation with Augmented Reality,99659090947,Elias  Mahfoud
10.1145/3481549.3481564,Cross-Platform Immersive Visualization and Navigation with Augmented Reality,81467643151,Weichao  Wang
10.1145/3481549.3481564,Cross-Platform Immersive Visualization and Navigation with Augmented Reality,81100052641,Aidong Lu
10.1145/3481549.3481555,Visual Linking of Feature Values in Immersive Graph Visualization Environment,99659915448,Hinako  Sassa
10.1145/3481549.3481555,Visual Linking of Feature Values in Immersive Graph Visualization Environment,81488668405,Maxime  Cordeil
10.1145/3481549.3481555,Visual Linking of Feature Values in Immersive Graph Visualization Environment,99658718448,Mitsuo Yoshida
10.1145/3481549.3481555,Visual Linking of Feature Values in Immersive Graph Visualization Environment,81100329777,Takayuki  Itoh
10.1145/3481549.3481566,ThreadRadar: A Thread-Aware Visualization for Debugging Concurrent Java Programs,99659915576,Oliver  Moseler
10.1145/3481549.3481566,ThreadRadar: A Thread-Aware Visualization for Debugging Concurrent Java Programs,99659915201,Lucas  Kreber
10.1145/3481549.3481566,ThreadRadar: A Thread-Aware Visualization for Debugging Concurrent Java Programs,81100020010,Stephan  Diehl
10.1145/3481549.3481565,Interactive Visual Facets to Support Fluid Exploratory Search,99659914928,Chen  He
10.1145/3481549.3481565,Interactive Visual Facets to Support Fluid Exploratory Search,81548012985,Luana  Micallef
10.1145/3481549.3481565,Interactive Visual Facets to Support Fluid Exploratory Search,82259259657,Barış  Serim
10.1145/3481549.3481565,Interactive Visual Facets to Support Fluid Exploratory Search,99659191803,Tung  Vuong
10.1145/3481549.3481565,Interactive Visual Facets to Support Fluid Exploratory Search,81339525898,Tuukka  Ruotsalo
10.1145/3481549.3481565,Interactive Visual Facets to Support Fluid Exploratory Search,81100644548,Giulio Iacucci
10.1145/3481549.3481550,Visual Analysis of Graph Algorithm Dynamics,81331488994,Michael  Burch
10.1145/3481549.3481550,Visual Analysis of Graph Algorithm Dynamics,81100493799,Günter Wallner
10.1145/3481549.3481550,Visual Analysis of Graph Algorithm Dynamics,81100431196,Huub M M van de Wetering
10.1145/3481549.3481550,Visual Analysis of Graph Algorithm Dynamics,99659915567,Freek  Rooks
10.1145/3481549.3481550,Visual Analysis of Graph Algorithm Dynamics,99659915351,Olof  Morra
10.1145/3481549.3481571,Enabling Comparative Analysis of Election Data in Ecuador,84460003257,Gonzalo Gabriel Méndez
10.1145/3481549.3481571,Enabling Comparative Analysis of Election Data in Ecuador,99659915372,Oscar  Moreno
10.1145/3481549.3481573,Software Galaxies: Displaying Coding Activitiesusing a Galaxy Metaphor,99659915322,Daniel  Atzberger
10.1145/3481549.3481573,Software Galaxies: Displaying Coding Activitiesusing a Galaxy Metaphor,99659051346,Willy  Scheibel
10.1145/3481549.3481573,Software Galaxies: Displaying Coding Activitiesusing a Galaxy Metaphor,82458918757,Daniel Limberger
10.1145/3481549.3481573,Software Galaxies: Displaying Coding Activitiesusing a Galaxy Metaphor,81100019985,Jürgen  Döllner
10.1145/3481549.3481572,Using Scrollytelling to Explain Voting Power in Ecuador,84460003257,Gonzalo Gabriel Méndez
10.1145/3481549.3481572,Using Scrollytelling to Explain Voting Power in Ecuador,81492646025,Patricio  Mendoza
10.1145/3481549.3481559,A Web-Based Tool for analysing Formula 1 Races and Seasons,99659914952,Sebastian  Eckl
10.1145/3481549.3481559,A Web-Based Tool for analysing Formula 1 Races and Seasons,99659915658,Nick  Kerschagel
10.1145/3481549.3481559,A Web-Based Tool for analysing Formula 1 Races and Seasons,81466647554,Uwe  Kloos
10.1145/3481549.3481567,POEM: People-Oriented EMail for Social Connectedness,99659915851,Maitreya  Save
10.1145/3481549.3481567,POEM: People-Oriented EMail for Social Connectedness,81100375996,Benjamin Allen Watson
10.1145/3481549.3481551,OpinionManager: Visual Exploration of Online Reviews in P2P Accommodation,99659915798,Dong  Li
10.1145/3481549.3481551,OpinionManager: Visual Exploration of Online Reviews in P2P Accommodation,99659290545,Hong  Yin
10.1145/3481549.3481551,OpinionManager: Visual Exploration of Online Reviews in P2P Accommodation,81100220966,Changbo  Wang
10.1145/3481549.3481551,OpinionManager: Visual Exploration of Online Reviews in P2P Accommodation,99659915122,Sicheng  Song
10.1145/3481549.3481551,OpinionManager: Visual Exploration of Online Reviews in P2P Accommodation,99659482820,Kirlin  Li
10.1145/3481549.3481551,OpinionManager: Visual Exploration of Online Reviews in P2P Accommodation,99658761360,Chenhui  Li
10.1145/3481549.3481552,Particle pre-processing for particle-based fluid surface reconstruction,99659915850,Qiaorui  Chen
